DATE,INTDSRGBM193N
2002-07-01,4.0000000000000000
2002-10-01,4.0000000000000000
2003-01-01,3.8333333333333333
2003-04-01,3.7500000000000000
2003-07-01,3.5000000000000000
2003-10-01,3.6666666666666667
2004-01-01,3.9166666666666667
2004-04-01,4.2500000000000000
2004-07-01,4.6666666666666667
2004-10-01,4.7500000000000000
2005-01-01,4.7500000000000000
2005-04-01,4.7500000000000000
2005-07-01,4.5833333333333333
2005-10-01,4.5000000000000000
2006-01-01,4.5000000000000000
2006-04-01,4.5000000000000000
2006-07-01,4.6666666666666667
2006-10-01,4.9166666666666667
2007-01-01,5.2500000000000000
2007-04-01,5.4166666666666667
2007-07-01,5.7500000000000000
2007-10-01,5.6666666666666667
2008-01-01,5.3333333333333333
2008-04-01,5.0000000000000000
2008-07-01,5.0000000000000000
